שם מלא,תפקיד,רקע מקצועי
עודד רביבי,מנכ״ל אנו מוזיאון העם היהודי,"בתפקידו האחרון שימש עודד כראש המועצה המקומית אפרת. במקביל, משנת 2014, הוא משמש כיו""ר דירקטוריון החברה למשק וכלכלה סוכנות לביטוח וכחבר באספה הכללית של מפעל הפיס. בשנת 2013 הוא נבחר לשמש כמנטור בתוכנית ההכשרה לראשי רשויות חדשים שיזם משרד הפנים בשיתוף עם מרכז השלטון המקומי, האוניברסיטה העברית ומפע""ם ירושלים, וכיום משמש כמנטור עבור שני ראשי רשויות חדשים. בשנים 2008-2000 הוא עבד כעורך דין עצמאי המתמחה בתחומי המשפט האזרחי והמסחרי ולפני כן שימש כעו""ד במשרד עורכי דין העוסק בתחומי המשפט האזרחי, נזיקין ודיני הביטוח. בשנים 1995-1994 ביצע עודד התמחויות במשרדים העוסקים במשפט האזרחי-מסחרי ובלשכה המשפטית של הסוכנות היהודית."
עדי פריזן רביד,סגנית מנהלת בית החולים וולפסון לשעבר,"ד""ר עדי פריזן רביד שימשה סגנית מנהלת בית החולים וולפסון החל משנת 2022 עד שנת 2023. קודם לכן שימשה כרופאה בכירה בהנהלת בית החולים וכרופאת ילדים. בשנת 2020 שימשה כיועצת מנכ""ל משרד הבריאות וכעוזרת מנכ""לית בית החולים וולפסון. עדי מומחית במנהל רפואי וברפואת ילדים וביצעה את התמחותה בבית החולים וולפסון ובמשרד הבריאות, ואת הסטאז' בבית החולים מאיר. היא בעלת תואר ראשון בביוטכנולוגיה (BSc), תואר מוסמך בווירולוגיה (MSc) ותואר ד""ר לרפואה (MD) - כולם מאוניברסיטת תל אביב. במסגרת תוכנית ענבר היא השלימה תואר מוסמך במנהל עסקים (MBA) עם התמחות בניהול מערכות בריאות באוניברסיטת תל אביב."
ציון רגב,מנהל תוכנית החומש בחינוך במזרח ירושלים ומנהל קהילת קיבוץ כפר עזה,"ציון מכהן כמנהל תוכנית החומש בחינוך במזרח ירושלים ומנהל קהילת קיבוץ כפר עזה. בתפקידו הקודם היה מנהל האחריות החברתית בחברת גזית-גלוב ובמסגרת זאת הקים וניהל את מיזם לדרום המסייע בשיפור תשתית מערכות החינוך ביישובי הפריפריה בדרום בכלל ובתמיכה בבתי ספר, בסטודנטים ובמרכזי צעירים בפרט. קודם לכן הוא שימש כמנכ""ל אייסף - הקרן הבינלאומית לחינוך, שמלווה סטודנטים מצטיינים מהפריפריה הכלכלית-חברתית ותומכת בהם, וניהל את הפנימייה התיכונית ע""ש מיי בויאר בירושלים. את שירותו הצבאי סיים ציון כקצין נשק וכסגן מפקד סטי""ל בחיל הים בדרגת רס""ן."
יונתן רגב,"סמנכ""ל כספים בישראכרט","מכהן כיום כסמנכ""ל הכספים בישראכרט. לפני כן, כיהן כמנהל הסיכונים הראשי בישראכרט וכסמנכ״ל מניעת הונאות ורגולציה בחברה. בעבר עבד כעשר שנים באגף התקציבים במשרד האוצר, בין היתר כסגן הממונה על התקציבים האחראי על התחומים הכלכליים."
בועז רדי,"מנכ""ל ובעלים חברת אימפקט","בועז משמש כבעלים וכמנכ""ל משותף של אימפקט בע""מ- חברה המתמחה במתן ייעוץ בנושאי יחסי ממשל, לובינג ואסטרטגיה פוליטית לגופים כלכליים, לארגונים חברתיים ולמגוון חברות בארץ ובעולם. קודם לכן עבד במשך חמש שנים כראש אגף רגולציה וחבר בפורום הנהלת בנק הפועלים. בנוסף, היה ציר כלכלי בשגרירות ישראל בוושינגטון ואחראי על מערכת הקשרים הכלכלית בין ממשלת ישראל והממשל האמריקאי. את שירותו הצבאי סיים בועז כקצין ביחידה 8200 בדרגת סרן."
אסנת רובין,ראשת החוג לתואר שני בייעוץ חינוכי במכללה ירושלים וחברה בוועדת ההיגוי של המל״ג להנגשת השכלה גבוהה לפריפריה החברתית,"אסנת מכהנת כראשת החוג לייעוץ חינוכי במכללה ירושלים. לפני כן הייתה ראשת ביה""ס להתמחות מקצועית וראשת התמחות מחקר והערכה במכון מופ""ת. היא מרצה בכירה באקדמיה וחוקרת, בין היתר, את זהותו של מורה-המורים ואת סוגיית החרדים באקדמיה. מחקריה פורסמו בספרים, במאמרים ובכנסים בישראל ובעולם. היא הקימה תוכנית לתואר שני בייעוץ והתפתחות האדם למגזר החרדי מטעם אוניברסיטת חיפה, ומנהלת אותה מאז הקמתה. כמו כן יזמה ומנהלת פרויקט ייעוץ בדוא""ל במגזר החרדי. תפקידים נוספים שכיהנה בהם: ראשת יחידת מחקר, עורכת ראשית של כתב עת, ראשת מינהל סטודנטים, ראשת חוג במכלל, וחברה בוועדות לכתיבת תוכניות לימודים לתואר שני במכללות."
מאיר רובין,"מנכ""ל פורום קהלת","מאיר הוא מנכ""ל מייסד של פורום קהלת - מכון מחקר ומעשה השוכן בירושלים ומקדם את מעמדה של ישראל כמדינת הלאום היהודי, את המשילות ואת חירות הפרט. מאז הקמתו השפיע הפורום על המדיניות הלאומית באופן עמוק ומשמעותי וכיום הוא מכון המחקר המוביל בישראל בתחומי עיסוקו. בפורום כ-140 חוקרים ותקציבו הוא כ-35 מיליון ₪ בשנה. בנוסף, מאיר הוא מנכ""ל מייסד של עמותת ההזנק דיקטה העוסקת בלמידת מכונה ובלשנות, מעסיקה שלושים עובדים ובעלת תקציב של 7 מיליון ₪ בשנה. דיקטה פיתחה מנוע ניקוד חדשני לעברית, מנוע חיפוש עוצמתי לטקסטים עבריים ושלל כלים נוספים המיועדים לאקדמיה ולציבור הרחב ללא תשלום. בעבר היה יועץ החקיקה של סיעת הליכוד בכנסת, מדריך בתנועת אחריי! ומדריך בפנימייה לנוער בסיכון."
דנה רובין,"מנהלת אגף לשירותים חברתיים, מ.א. חוף הכרמל","החל מ-2018  מנהלת האגף לשירותים חברתיים וקהילתיים במ.א. חוף הכרמל, התפקיד כולל פיתוח ומתן שירותים חברתיים ליחידים, משפחות וקהילות, בשגרה ובחירום. ניהול, הדרכה ופיתוח העובדים, ניהול תקציב האגף, תוך פיתוח ממשקים ושותפויות 
2016-2019 - מנהלת המרכז לטיפול בילד ובמשפחה, מ.א. חוף הכרמל. התפקיד כלל הקמת מרכז טיפולי, ניהול ארגוני ומקצועי לארבע יחידות טיפוליות: היחידה לגיל הרך, היחידה לילד ונוער, התחנה לטיפול משפחתי, והיחידה לטיפול ומניעת אלימות במשפחה. 
2000-2016 - מנהלת התחנה לטיפול משפחתי 
במקביל לעבודתי הציבורית, מעל 20 שנה מלמדת באוניברסיטת חיפה בביה""ס לעבודה סוציאלית, קורסים לתואר ראשון ושני בתחומי העבודה הסוציאלית והטיפול המשפחתי. 
בנוסף, מזה 20 שנה מטפלת ומדריכה בקליניקה פרטית"
שחר רובינשטיין,מנהל כפר הנוער קדמה,"שחר הוא מנהל כפר הנוער קדמה וגם המייסד והמנכ""ל של עמותת ערכים בספורט, המובילה תוכנית חינוכית ייחודית לילדים ולבני נוער המשתתפים בחוגי ספורט ובספורט תחרותי. בעבר הוא היה מורה בתיכון, בעיקר לתלמידים מעוטי יכולת, ובתקופה זו שימש גם כמנטור בתוכנית חותם. כמו כן הוא היה מנהל מחוז בעמותת אחריי! ומדריך חברתי לנוער בפנימיית קדמה לבני נוער מרקע עברייני. שחר שירת כקצין לוחם בשייטת 13."
נתנאל רובינשטיין,ראש אגף בכיר ניהול משברים/מטה שיקום ארוך טווח אחרי אסונות משרד רהמ,"נתנאל מוביל ממשל בארגון תשתית לחיזוק השירות הציבורי שהינו שותף בהקמתו. בעבר ניהל את אגף הכשרות וידע במשרד הפנים. מאז שנת 2013-2024 ביצע מגוון תפקידי מטה וניהול פרויקטים במשרד לאזרחים ותיקים, שוויון חברתי והפנים."
רבקה רודנסקי,מנהלת אגף מערכות מידע במרכז הרפואי שערי צדק,"רבקה מנהלת את אגף מערכות המידע של המרכז הרפואי שערי צדק בירושלים משנת 2020. בתפקידיה הקודמים בשערי צדק, החל משנת 2015, רבקה הייתה מנהלת תחום פיתוח תוכנה וסגנית מנהלת אגף מערכות מידע. היא מובילה את תחום המחשוב במקצועיות תוך כדי ייזום וקידום חדשנות, טכנולוגיה ודיגיטציה של תהליכים. שמירה על רציפות תפקודית, אבטחת מידע והגנה בסייבר. לרבקה יש השכלה בהנדסת תוכנה וחינוך, מעל 15 שנות ניסיון בהי-טק, במגוון תפקידים: ניהול צוותי פיתוח, פיתוח יישומים, ניהול מוצרים וניהול לקוחות."
יובל רווה,סגן מנהל המרכז הרפואי מרחבים,"סגן מנהל המרכז הרפואי מרחבים. חבר וועד באיגוד הפסיכיאטריה של הילד והמתבגר. בתפקידי הקודם ניהלתי את המחלקה לפסיכיאטריה של הילד והמתבגר במשרד הבריאות, ובין היתר תכננתי וליוויתי את ההקמה של מרכזי התערבות במשבר לילדים ונוער, בשיתוף עם האיגוד, ואת הקמת הבתים המאזנים הראשונים בארץ לילדים ונוער. לפני כן ניהלתי מרפאה רב תחומית לטיפול בילד ובמשפחה בבי""ח הרצוג, שסיפקה שירותי בריאות נפש מונגשים תרבותית לאוכלוסייה המגוונת של צפון ירושלים והאיזור. לאורך השנים צברתי ניסיון קליני עשיר בטיפול באלפי ילדים במסגרות שונות, החל מעבודה כמתמחה ומומחה בפסיכיאטריה של הילד והמתבגר במרכז הרפואי הדסה, עבודה במרפאות שונות של קופ""ח מכבי, ליווי משפחות וילדי אומנה במסגרת עמותת ""אור שלום"", וליווי ילדים וצוותים בפנימיות טיפוליות. אני עוסק במחקר נוירו ביולוגי גנטי. הרציתי והדרכתי סטודנטים לרפואה בביה""ס לרפואה של האוניברסיטה העברית, וסטודנטים לתואר ראשון ושני במסלול האקדמי של המכללה למנהל. נבחרתי מספר שנים כמרצה מצטיין. רב סרן במילואים ומשרת כרופא באוגדה 98. את התמחותי בפסיכיאטריה של הילד והמתבגר עשיתי במרכז הרפואי הדסה, ואת הסטאז' ברפואה במרכז הרפואי אסף הרופא."
שמעון רוזיליו,ראש מינהל חינוך בעיריית דימונה,"בתפקידו האחרון שימש שמעון כמנכ""ל המועצה המקומית ירוחם. במסגרת תפקידו היה אחראי על ניהול מחלקות הרשות המקומית ועל קידום יעדיה בתחומי מוביליות חברתית, איכות חיים ופיתוח כלכלי. בעבר עסק כעשרים שנה בתחום החינוך, ניהל שני בתי ספר תיכוניים וניהל את מחלקת החינוך בירוחם."
נעה שבירו רוזמן,"סגנית רופאת המחוז, לשכת הבריאות המחוזית תל אביב","נעה היא רופאה מומחית בבריאות הציבור, החל משנת 2024 משמשת כסגנית רופאת המחוז בלשכת הבריאות תל אביב. קודם לכן הייתה רופאת נפת פתח תקווה במשרד הבריאות, ולפני כן עבדה כרופאה מומחית בלשכת הבריאות המחוזית בתל אביב. במהלך ההתמחות ולאחריה עבדה באופן חלקי גם באגף לאפידמיולוגיה בחטיבת בריאות הציבור במשרד הבריאות. חברה בוועדה המייעצת למחלות זיהומיות ולחיסונים. בעבר עבדה בחברת התרופות GlaxoSmithKline כיועצת רפואית"
מירי הימן רוזן,"מנכ""לית ומייסדת עמותת לשמה","מירי היא מנכ""לית ומייסדת עמותת לשמה, המקדמת עשייה חברתית-ציבורית של נשים חרדיות בכירות. העמותה פועלת לפיתוח עתודה של נשים חרדיות בכירות ומקצועיות שתעסוקנה בקידום פתרונות לאתגרים חברתיים. בשנים 2012 -2007 עבדה מירי כעיתונאית במגוון תפקידי כתיבה ועריכה בעיתונות החרדית - עיתון משפחה וחברת סמש מגזינים. היא בעלת תואר שני במדיניות ציבורית בהצטיינות מאוניברסיטת תל אביב, תואר ראשון במדעי החברה בהצטיינות יתרה מהאוניברסיטה הפתוחה ותעודת הסמכה להוראה מסמינר גור אשדוד."
אור רוזן,"סמנכ""ל מכירות באמזון","אור הוא סמנכ""ל מכירות ישראל באמזון ווב סרביסס (AWS), חברת מחשוב הענן הגדולה והמובילה בעולם. במסגרת תפקידו הוביל את אמזון לזכייה במכרז הענן הממשלתי של ישראל נימבוס, מנהל צוותי מכירות לקידום טרנספורמציה דיגיטלית מול החברות המובילות במשק וחבר הנהלה באמזון ישראל. קודם לכן הוביל תהליכי פיתוח עסקי בקבוצת אלביט מערכות. לפני כן ייסד והוביל את הפעילות של סטארט-אפ בתחום התעופה. בשירותו הצבאי שירת כקצין ומפקד בחיל האוויר."
ורדית רוזנבלום,"טו""ר ועו""ד. חברת סגל במכון מנדל למנהיגות, ודיקאנית בתוכנית 'שלוחי ציבור' בשיתוף עם האונ' העברית. מנהלת מדרשת 'אותות'.","ורדית היא טו""ר ועו""ד. מנחה בתכנית מנדל לפיתוח מנהיגות בחברה החרדית ובתכנית שלוחי ציבור בשיתוף עם האונ' העברית. כמו כן, מנהלת מדרשת 'אותות' - מסגרת תורנית לנשים חרדיות. קודם לכן, הובילה ורדית תכנית לנשים חרדיות. בנוסף, היא עבדה שנים רבות ב""יד לאישה"" במתן סיוע, ייעוץ
וייצוג לנשים עגונות ומסורבות גט. היא מנחה נשים
חרדיות במסגרת תכניות מנהיגות שונות ומרצה בנושאי משפט, נשים והקהילה החרדית. ורדית היא עמיתה בפורום ""פעילים חברתיים"" חרדים מיסודו של מוסד שמואל נאמן בטכניון, ובחסות ""שחרית"". ורדית משיבה לחרדים אנונימיים הפונים בשאלות של זהות, זוגיות ואמונה לאתר החרדי 'אקשיבה', וחברה בוועדת ההיגוי של מכון דב לאוטמן לחינוך."
אהוד רוזנבלום,"מנהל יחידה לרפואה דחופה ילדים, מרכז רפואי מאיר, שירותי בריאות כללית","אהוד משמש החל מ 2014 כמנהל מלר""ד ילדים במרכז הרפואי מאיר. קודם לכן הוא התמחה ברפואת ילדים באסף הרופא וברפואה דחופה ילדים - באסף הרופא ובבית החולים SickKids שבטורונטו קנדה. לאחר סיום התמחות העל , עבד כרופא בכיר וכמנהל תוכנית הסימולציה ב McMaster 
Children Hospital בהמילטון שבקנדה.
אהוד עוסק לא מעט בחינוך רפואי בעזרת סימולציה וכיום מוביל את תוכנית הסימולציה של החוג לרופאה דחופה ילדים ושל האקדמיה לרפואה דחופה ילדים במאיר."
עומר רוזנבלום,מנהל היחידה ללמידה ופיתוח רופאים,"משנת 2020 עומר מנהל את היחידה ללמידה ופיתוח הרופאות/ים של מכבי. עומר מקדם את החינוך הרפואי, עוסק בפיתוח למידה, הכשרות והטמעת מיומנויות בקרב הרופאות /ים . היוצר של ""המסכת"" סדרת הפודקאסטים ברפואת הקהילה. עומר יוזם ומפתח תכניות ומיזמי למידה מותאמי צורך והכשרות לטיפוח חוסן הרופאות/ים. מומחה ברפואת המשפחה בעל מרפאה בבאר-יעקב. מדריך סטודנטים ומתמחים ברפואת המשפחה וזכה בפרס אלקלעי למדריך מצטיין של החוג לרפואת משפחה באוניברסיטת ת""א. את הסטאז' השלים בבי""ח שמיר בהצטיינות, התמחות ברפואת משפחה במכבי במסגרתה זכה בפרס המתמחה המצטיין. חבר בצוות ההיגוי של EXERCISE IS MEDICINE ISRAEL  לקידום אורח חיים בריא ופעילות גופנית."
רעות רוזנבלט,"מנהלת שירות פסיכולוגי חינוכי, מועצה אזורית יואב","כיום אני מנהלת, זו השנה השנייה, את השירות הפסיכולוגי החינוכי במועצה אזורית יואב, אשר מונה, מלבדי, חמש פסיכולוגיות ומהווה חלק ממחלקת החינוך במועצה. לפני כניסתי לתפקיד הניהול עבדתי בשפ״ח במשך ארבע שנים כפסיכולוגית בהתמחות חינוכית וכחלק מתפקידי ריכזתי את תחום החוסן תוך הובלת בנייה ויישום של תכנית לקידום חוסן במועצה. טרם הכניסה למקצוע הפסיכולוגיה החינוכית עסקתי קרוב לעשור בחינוך והוראה. במרבית השנים הללו עבדתי כמורה לחינוך מיוחד, אך התנסיתי גם בחינוך כיתה רגילה. בנוסף, במשך מספר שנים שימשתי כמנתחת התנהגות ומומחית תחום ניתוח התנהגות יישומי במתי״א קרית גת."
עדי רוזנברג,מנהלת מחוז דרום וירושלים במשרד העלייה והקליטה,"בתפקידה האחרון לפני משרד העליה עדי שימשה כמנהלת האגף לתכנון אסטרטגי ופיתוח כלכלי במועצה המקומית ירוחם. במסגרת תפקיד זה עסקה בתחומים של- פיתוח כלכלי וקידום עסקים, פיתוח וגיוס משאבים, שיתוף ציבור, דיגיטציה, שירות לתושב, פיתוח ארגוני ופיתוח שירותים לדשים לתושב. קודם לכן עמדה עדי בראש קהילת בני עקיבא בירוחם- גרעין התיישבות משימתי המונה כמאתיים משפחות וניהלה את נקודה טובה - הזרוע הביצועית של הקהילה הפועלת בתחומי החברה והקהילה ומחברת בין קהילות, רווחה, זהות יהודית, העצמת המשפחה ותרבות. כמו כן, עדי היא חברת מזכירות נבחרת ב קרן קהילות - רשת גרעינים תורניים הפועלים בפריפריה החברתית והגיאוגרפית של מדינת ישראל. בעבר הייתה מהיוזמות ומהמקימות של גרעין סטודנטיות, בנות שירות לאומי ומשפחות בשכונת שפירא בדרום תל אביב, שמטרתו להשתלב בשכונה ולפתח בה מענים בתחום החברה, הרווחה והחינוך."
רני רוזנהיים,"מנכ""ל עיריית בת ים","רני הוא ראש מינהל אסטרטגיה וחדשנות בעיריית ירושלים. לפני כן ניהל את אגף חברה בעיריית ירושלים ובמסגרת זו היה אחראי על מכלול הפעילות הקהילתית הבלתי פורמלית בעיר – המינהלים הקהילתיים, הנוער, הגיל השלישי ועוד – בקרב המגזרים השונים. לפני כן שימש כמנהל אגף תרבות ותכנון אסטרטגי, ניהל את הישגים – התוכנית הלאומית להנגשת השכלה גבוהה לפריפריה, וכיהן כסמנכ""ל תנועת הנוער בני עקיבא. את שירותו הצבאי עשה רני ביחידה הטכנולוגית של חיל המודיעין."
ירון רוזנטל,ראש מועצת גוש עציון,"ירון הוא ראש מועצת גוש עציון. קודם לכן שימש כמנהל עסקי של קיבוץ כפר עציון ויו""ר של בית ספר שדה כפר עציון."
זהבה רוזנטל,"מנהלת השרות הפסיכולוגי ירושלים, עירית ירושלים","פסיכולוגית התפתחותית וחינוכית. עבדתי שנתיים במרכז להתפתחות הילד וסיימתי את ההתמחות ההתפתחותית בשפ״ח ירושלים, ובהמשך סיימתי את ההתמחות החינוכית. אחרי שמונה שנות עבודה כפסיכולוגית במהלכם השלמתי את לימודי הדוקטורט, התחלתי לנהל את התחנה למגזר החרדי בשפ״ח ולאחר שמונה שנים בתפקיד זה, עברתי לניהול השפ״ח. תחום ידע משמעותי שלמדתי והתמקצעתי בו הוא הטיפול הדיאדי - cpp. אני מטפלת ומדריכה בתחום זה. לפני כשמונה שנים הקמתי את היחידה ההתפתחותית בשפ״ח ובכך איחדתי את שתי התחומים שאני מאמינה בהם מאוד למקום העבודה שלי. במסגרת תפקידי כמנהלת השפ״ח פיתחתי את תחום התערבויות המניעה במסגרות החינוך, הרחבתי את המענים לקהילה, ומיצבתי את מקום השפ״ח בעיר ירושלים. גאה לנהל שפ״ח רב תרבותי ומגזרי, דווקא בתקופה מורכבת זו."
פזית רוזנטלר,"מתכללת להתחדשות עירונית בשכונת יוספטל, עיריית פתח תקווה","פזית היא מתכללת להתחדשות עירונית בשכונת יוספטל בפתח תקווה. לפני כן ניהלה את אגף חירום בעיריית מודיעין עילית בשנים 2020-2025. בשנים 2020-2010 ניהלה את אגף התעסוקה במודיעין עילית ובמסגרת תפקידה הייתה אחראית על תחום התעסוקה בעיר ועל קידום עסקים, כולל יזמות, קשרי מעסיקים, קשרי קהילה ושירותים תומכי תעסוקה. לפני כן שימשה פזית כמנהלת תחום במגזר העסקי וכמנהלת ביקורת ראשית בעיריית אילת."
אלחנן רוזנפלד,מרצה ומדריך פדגוגי מכון להכשרת מורים,אלחנן הוא איש חינוך יועץ ויזם חינוכי.
משה דוד רוזנפלד,עורך דין עצמאי,"משנת 2011 משה הוא עורך דין ויועץ משפטי בארגונים שונים ומנהל פרויקטים לחולים, נכים, ילדים עם צרכים מיוחדים ומחלות גנטיות באגודת עזרה למרפא. כבר שני עשורים הוא עוסק בתחום החינוך במגזר החרדי ומדריך קורסים שונים במד""א לכלל גוני הציבור היהודי והערבי."
דני רוזנר,בעלים ושותף בפ.ר.ג (צעדים לשינוי חברתי) – ניהול פרוייקטים בחינוך וחברה. מנהל אסטרטגיה ב'אופקים אסטרטגיה'.,"החל משנת 2017 מנהל דני את פ.ר.ג (צעדים לשינוי חברתי) שיסד, חברה לניהול פרוייקטים בתחומי חינוך וחברה, יחד עם שותפתו ענבר הרוש-גיטי (חברת רשת) ושותפו טל פריימן. בנוסף, מנהל דני את תחום ההשפעה בחברת 'אופקים אסטרטגיה'.
בנוסף, דני מוביל עבור קרן Goodman את תהליך הקמת האקוסיסטם של מחנות הקיץ במסגרת ארגון  'Summer Camps ישראל'. בעבר שימש כסמנכ""ל במשרד החינוך, כמנהל מינהל חברה ונוער. לאחר מכן שימש כמנהל התוכנית למנהיגות נוער במכון מנדל למנהיגות, לבכירי החינוך הבלתי פורמלי. קודם לכן שימש כמנכ""ל תנועת ""אחריי!"", כמנהל כספים וכמנהל מייסד של מס' פרוייקטים לבני נוער בעמותה. זאת ועוד, שימש דני כמנהל צמיחה בסטארט אפ riseup וכמנהל פרוייקטים בחברת 'התו השמיני'. דני היה שותף-מייסד במועצת ארגוני הילדים והנוער ושותף מייסד בפורום מכינות אופק, המכינות החצי שנתיות בישראל. בנוסף, השתתף בכתיבת: דו""ח 'הקפיצה החברתית' בקרן רש""י, דו""ח החינוך הבלתי פורמלי בישראל ודו""ח החינוך הבלתי פורמלי בתקופת הקורונה במכון מנדל למנהיגות, חינוך חברתי בחינוך הממלכתי-עברי במרכז מנור, אסטרטגיית החינוך החברתי בחברה הערבית במשרד החינוך, מחקרי מחנות קיץ בישראל, מחקרים לשילוב אוכלוסיות ומוביליות חברתית ועוד. כמו כן היה חבר ב: השולחן העגול הבינממשקי במשרד ראש הממשלה, המועצה המייעצת לשר החינוך, הוועדים המנהלים של: ""אחריי!"", התאחדות הסטודנטים והסטודנטיות, 'רואים רחוק', 'המרחב החינוכי השלם 24/7', 'המועצה לאסטרטגיה ציונית' ועוד."
יעקב צבי (קובי) רוזנשטיין,"מנכ""ל רשת החינוך דרכי יושר","יעקב הוא מנכ""ל רשת החינוך דרכי יושר ומייסד ומנכ""ל רשתות חינוך חרדיים, גני ילדים, בתי ספר יסודיים לבנים, תיכון לבנות ובית ספר מקצועי ללימודי הוראה ומקצוע לבנות חרדיות בפריסה ארצית, ומקים ומנהל בית תמר - רשת בתים מאזנים לבנות הסובלות מהפרעות אכילה. במשך 25 שנה הוא שימש כעוזרו וכדוברו של מנהיג הציבור הליטאי הרב שטינמן זצ""ל. בעבר גם כיהן כדובר וכעוזר של ח""כ הרב משה גפני ושל ח""כ הרב שמואל הלפרט. כיום הוא משמש כחבר הנהלת המועצה האזורית מטה בנימין."
שלמה רוזנשטיין,חבר הנהלת 'דרשו' . יועץ למשרד התחבורה,"מייסד ובעלים של חברת שיר הלוי המעניקה שירותי יעוץ למשרדי ממשלה, ארגונים ועסקים לקידום ופיתוח תהליכים במגזר החרדי. חבר הנהלת ארגון דרשו הפועל בקהילות התורניות ב28 מדינות ברחבי העולם לפיתוח מצוינות והישגים. יועץ לגיוס משאבים. כותב ועורך ספרי הגות וחינוך."
וסים רוחאנה,"סמנכ""ל חטיבה עסקית בבאבקום סנטרס","וסים הוא ממייסדי חברת באקום סנטרס, המעסיקה יותר מאלפיים עובדים, וכיום הוא סמנכ""ל החטיבה העסקית שלה וחבר הנהלה. בעבר ניהל את חטיבת הגליל בחברה. לפני כן ניהל את היחידה העסקית ברמת רווח והפסד, ניהל קבוצה של פעילויות אשר העסיקו כ-520 עובדים והיו ממוקמות בשלושה אתרים שונים: שניים במשגב ואחד בדלית אל-כרמל, והיה אחראי על הובלת מנהלי הפעילויות יחד עם המטה התומך, לעמוד ביעדי החברה ולשפר תהליכים להשגת מצוינות בשירות."
אסף רוט,"מנכ""ל ושותף בקבוצת חברות בינלאומיות / סגן ראש מועצה אזורית בני שמעון בהתנדבות","אסף הוא יושב הראש של האגודה הקהילתית קיבוץ דביר (בהתנדבות), והחל באוקטובר 2018 הוא נציג הקיבוץ במליאת המועצה בני שמעון וסגן ראש המועצה. החיבור בין מרחב הנגב, חינוך בעידן הנוכחי וחוסן קהילתי הם חלק מהמאיצים של אסף בחייו. בתחום המקצועי הוא מנכ""ל ושותף בקבוצת אינסטאנט וכן בחברת לוגיק פיתוח עסקי וטכנולוגי. בעשור האחרון הקים עם שותפים קבוצה של עסקים בעלי פרופילים שונים – טכנולוגיה, סחר, ייעוץ וייזום – שהמכנה המשותף לכולם הוא עולם התיירות והמלונאות בישראל ובעולם. לחברות הללו חמישה מרכזים בעולם והן פורצות דרך בתחומן. ""Business is all about pleasure"", אומר אסף כמשל לתשוקה שיש לקוות ולמצוא בעשייה היומיומית."
ציפי רוטלוי,"סמנכ""לית העיתון יתד נאמן","ציפי היא סמנכ""לית יתד נאמן - העיתון החרדי הנפוץ ביותר. במסגרת תפקידה היא אחראית על השיווק, הפרסום, המכירות ועל ניהול העובדים מלווה את ניהול העיתון על אגפיו השונים ותורמת לפיתוחו המרשים – משנת 2006 הוא מופץ ביותר מ-140,000 עותקים מדי שבוע. מאז שהחלה את עבודתה בעיתון בשנת 1986 היא מילאה בו תפקידים שונים: מנהלת שיווק, סמנכ""לית שיווק, אחראית משאבי אנוש ועוד."
יעקב רוטשילד,"מפקד המרכז לשירותי בריאות הנפש, חיל הרפואה, צה""ל","משנת 2024 משמש יעקב כמפקד המרכז לשירותי בריאות הנפש. לפני כן שירת כראש מנהל הבריאות התעסוקתית וכקצין הרפואה של עוצבת הגליל (אוגדה 91). קודם לכן, היה ראש מדור רפואה בפיקוד הצפון. במהלך התמחותו מילא תפקיד של פסיכיאטר במרפאת בריאות הנפש המרכזית של צה""ל ובמקביל מ""פ של יחידת רפואה אווירית במיל' באוגדה 98. עוד קודם לכן, בין השנים 2010-2013 שרת כרופא יחידה בחיל הים. תפקידו הראשון בצה""ל היה רופא גדודי בחטיבת הצנחנים. יעקב הוא מומחה בפסיכיאטריה ובוגר בית הספר לפסיכותרפיה יונגיאנית. את התמחותו ביצע במרכז לבריאות הנפש שלוותה בהוד השרון."
יובל רויטמן,ראש אשכול רגולציה במחלקה למשפט כלכלי במשרד המשפטים,"יובל הוא ראש אשכול רגולציה במחלקה למשפט כלכלי במחלקת ייעוץ וחקיקה במשרד המשפטים. בתפקידו הקודם שימש כפרקליט בכיר וכראש צוות פרקליטים במחלקת הבג""צים שבפרקליטות המדינה, וייצג רשויות מדינה בעתירות חוקתיות ומינהליות לבית המשפט הגבוה לצדק. בעבר הוא כיהן כיועץ המשפטי בפועל לרשות החברות הממשלתיות, כעו""ד במשרד GKH וכיועץ המשפטי למנהל הגיוס והבקו""ם באגף כוח האדם בצה""ל במסגרת הפרקליטות הצבאית. יובל מרצה במסגרות אקדמיות בנושאים מגוונים ובהם משפט חוקתי ומינהלי, רגולציה שלטונית ודיני אנרגיה."
נתי רום,"מייסד ארגון לב העולם, רום משרד עורכי דין, עמותת אור עמי וחברת סמריה","עו""ד נתי רום, פעיל זכויות אדם, עוסק בהסברה, פעיל ומרצה בעולם על ציונות ועל החיים בהתיישבות ביהודה ושומרון, מייסד חברת לב העולם הפועלת לחיזוק ההתיישבות ביהודה ושומרון, בעוטף עזה, בגליל, בגולן ומגורשי גוש קטיף על ידי תמיכה בעסקיהם. כמו כן הוא מקים עמותת אור עמי העוסקת בתמיכה בהתיישבות החלוצית בישראל."
